"DateTime","Followers"
"2020-06-10 00:00:00",53824
"2020-06-11 00:00:00",53831
"2020-06-12 00:00:00",53843
"2020-06-13 00:00:00",53846
"2020-06-14 00:00:00",53862
"2020-06-15 00:00:00",53877
"2020-06-16 00:00:00",53889
"2020-06-17 00:00:00",53908
"2020-06-18 00:00:00",53918
"2020-06-19 00:00:00",53928
"2020-06-20 00:00:00",53947
"2020-06-21 00:00:00",53957
"2020-06-22 00:00:00",53959
"2020-06-23 00:00:00",53969
"2020-06-24 00:00:00",53981
"2020-06-25 00:00:00",53986
"2020-06-26 00:00:00",54001
"2020-06-27 00:00:00",54028
"2020-06-28 00:00:00",54042
"2020-06-29 00:00:00",54082
"2020-06-30 00:00:00",54110
"2020-07-01 00:00:00",54127
"2020-07-02 00:00:00",54145
"2020-07-03 00:00:00",54167
"2020-07-04 00:00:00",54189
"2020-07-05 00:00:00",54207
"2020-07-06 00:00:00",54227
"2020-07-07 00:00:00",54242
"2020-07-08 00:00:00",54263
"2020-07-09 00:00:00",54267
"2020-07-10 00:00:00",54281
"2020-07-11 00:00:00",54290
"2020-07-12 00:00:00",54295
"2020-07-13 00:00:00",54300
"2020-07-14 00:00:00",54314
"2020-07-15 00:00:00",54328
"2020-07-16 00:00:00",54340
"2020-07-17 00:00:00",54346
"2020-07-18 00:00:00",54355
"2020-07-19 00:00:00",54362
"2020-07-20 00:00:00",54373
"2020-07-21 00:00:00",54390
"2020-07-22 00:00:00",54406
"2020-07-23 00:00:00",54408
"2020-07-24 00:00:00",54414
"2020-07-25 00:00:00",54425
"2020-07-26 00:00:00",54433
"2020-07-27 00:00:00",54445
"2020-07-28 00:00:00",54449
"2020-07-29 00:00:00",54458
"2020-07-30 00:00:00",54464
"2020-07-31 00:00:00",54469
"2020-08-01 00:00:00",54479
"2020-08-02 00:00:00",54485
"2020-08-03 00:00:00",54495
"2020-08-04 00:00:00",54501
"2020-08-05 00:00:00",54505
"2020-08-06 00:00:00",54519
"2020-08-07 00:00:00",54531
"2020-08-08 00:00:00",54546
"2020-08-09 00:00:00",54551
"2020-08-10 00:00:00",54555
"2020-08-11 00:00:00",54561
"2020-08-12 00:00:00",54568
"2020-08-13 00:00:00",54581
"2020-08-14 00:00:00",54592
"2020-08-15 00:00:00",54603
"2020-08-16 00:00:00",54604
"2020-08-17 00:00:00",54608
"2020-08-18 00:00:00",54610
"2020-08-19 00:00:00",54620
"2020-08-20 00:00:00",54628
"2020-08-21 00:00:00",54633
"2020-08-22 00:00:00",54650
"2020-08-23 00:00:00",54657
"2020-08-24 00:00:00",54673
"2020-08-25 00:00:00",54729
"2020-08-26 00:00:00",54780
"2020-08-27 00:00:00",54817
"2020-08-28 00:00:00",54856
"2020-08-29 00:00:00",54887
"2020-08-30 00:00:00",54923
"2020-08-31 00:00:00",54946
"2020-09-01 00:00:00",54960
"2020-09-02 00:00:00",54990
"2020-09-03 00:00:00",55009
"2020-09-04 00:00:00",55022
"2020-09-05 00:00:00",55052
"2020-09-06 00:00:00",55082
"2020-09-07 00:00:00",55117
"2020-09-08 00:00:00",55129
"2020-09-09 00:00:00",55138
"2020-09-10 00:00:00",55149
"2020-09-11 00:00:00",55164
"2020-09-12 00:00:00",55174
"2020-09-13 00:00:00",55186
"2020-09-14 00:00:00",55203
"2020-09-15 00:00:00",55215
"2020-09-16 00:00:00",55222
"2020-09-17 00:00:00",55237
"2020-09-18 00:00:00",55252
"2020-09-19 00:00:00",55256
"2020-09-20 00:00:00",55270
"2020-09-21 00:00:00",55286
"2020-09-22 00:00:00",55294
"2020-09-23 00:00:00",55306
"2020-09-24 00:00:00",55315
"2020-09-25 00:00:00",55323
"2020-09-26 00:00:00",55332
"2020-09-27 00:00:00",55354
"2020-09-28 00:00:00",55370
"2020-09-29 00:00:00",55379
"2020-09-30 00:00:00",55384
"2020-10-01 00:00:00",55390
"2020-10-02 00:00:00",55400
"2020-10-03 00:00:00",55409
"2020-10-04 00:00:00",55421
"2020-10-05 00:00:00",55430
"2020-10-06 00:00:00",55437
"2020-10-07 00:00:00",55453
"2020-10-08 00:00:00",55463
"2020-10-09 00:00:00",55469
"2020-10-10 00:00:00",55478
"2020-10-11 00:00:00",55498
"2020-10-12 00:00:00",55516
"2020-10-13 00:00:00",55520
"2020-10-14 00:00:00",55531
"2020-10-15 00:00:00",55542
"2020-10-16 00:00:00",55549
"2020-10-17 00:00:00",55555
"2020-10-18 00:00:00",55566
"2020-10-19 00:00:00",55574
"2020-10-20 00:00:00",55580
"2020-10-21 00:00:00",55588
"2020-10-22 00:00:00",55602
"2020-10-23 00:00:00",55612
"2020-10-24 00:00:00",55623
"2020-10-25 00:00:00",55634
"2020-10-26 00:00:00",55641
"2020-10-27 00:00:00",55646
"2020-10-28 00:00:00",55660
"2020-10-29 00:00:00",55672
"2020-10-30 00:00:00",55685
"2020-10-31 00:00:00",55707
"2020-11-01 00:00:00",55732
"2020-11-02 00:00:00",55750
"2020-11-03 00:00:00",55767
"2020-11-04 00:00:00",55781
"2020-11-05 00:00:00",55788
"2020-11-06 00:00:00",55796
"2020-11-07 00:00:00",55808
"2020-11-08 00:00:00",55822
"2020-11-09 00:00:00",55830
"2020-11-10 00:00:00",55841
"2020-11-11 00:00:00",55852
"2020-11-12 00:00:00",55857
"2020-11-13 00:00:00",55864
"2020-11-14 00:00:00",55867
"2020-11-15 00:00:00",55881
"2020-11-16 00:00:00",55897
"2020-11-17 00:00:00",55909
"2020-11-18 00:00:00",55920
"2020-11-19 00:00:00",55934
"2020-11-20 00:00:00",55937
"2020-11-21 00:00:00",55945
"2020-11-22 00:00:00",55959
"2020-11-23 00:00:00",55965
"2020-11-24 00:00:00",55969
"2020-11-25 00:00:00",55977
"2020-11-26 00:00:00",55998
"2020-11-27 00:00:00",56044
"2020-11-28 00:00:00",56070
"2020-11-29 00:00:00",56103
"2020-11-30 00:00:00",56128
"2020-12-01 00:00:00",56153
"2020-12-02 00:00:00",56174
"2020-12-03 00:00:00",56177
"2020-12-04 00:00:00",56182
"2020-12-05 00:00:00",56197
"2020-12-06 00:00:00",56208
"2020-12-07 00:00:00",56221
"2020-12-08 00:00:00",56236
"2020-12-09 00:00:00",56254
"2020-12-10 00:00:00",56259
"2020-12-11 00:00:00",56270
"2020-12-12 00:00:00",56290
"2020-12-13 00:00:00",56304
"2020-12-14 00:00:00",56322
"2020-12-15 00:00:00",56335
"2020-12-16 00:00:00",56349
"2020-12-17 00:00:00",56363
"2020-12-18 00:00:00",56369
"2020-12-19 00:00:00",56375
"2020-12-20 00:00:00",56387
"2020-12-21 00:00:00",56399
"2020-12-22 00:00:00",56409
"2020-12-23 00:00:00",56424
"2020-12-24 00:00:00",56451
"2020-12-25 00:00:00",56475
"2020-12-26 00:00:00",56494
"2020-12-27 00:00:00",56518
"2020-12-28 00:00:00",56534
"2020-12-29 00:00:00",56550
"2020-12-30 00:00:00",56568
"2020-12-31 00:00:00",56599
"2021-01-01 00:00:00",56621
"2021-01-02 00:00:00",56641
"2021-01-03 00:00:00",56653
"2021-01-04 00:00:00",56670
"2021-01-05 00:00:00",56693
"2021-01-06 00:00:00",56709
"2021-01-07 00:00:00",56720
"2021-01-08 00:00:00",56731
"2021-01-09 00:00:00",56735
"2021-01-10 00:00:00",56742
"2021-01-11 00:00:00",56749
"2021-01-12 00:00:00",56758
"2021-01-13 00:00:00",56768
"2021-01-14 00:00:00",56782
"2021-01-15 00:00:00",56787
"2021-01-16 00:00:00",56793
"2021-01-17 00:00:00",56797
"2021-01-18 00:00:00",56804
"2021-01-19 00:00:00",56806
"2021-01-20 00:00:00",56814
"2021-01-21 00:00:00",56820
"2021-01-22 00:00:00",56832
"2021-01-23 00:00:00",56842
"2021-01-24 00:00:00",56855
"2021-01-25 00:00:00",56860
"2021-01-26 00:00:00",56867
"2021-01-27 00:00:00",56873
"2021-01-28 00:00:00",56883
"2021-01-29 00:00:00",56895
"2021-01-30 00:00:00",56899
"2021-01-31 00:00:00",56909
"2021-02-01 00:00:00",56925
"2021-02-02 00:00:00",56929
"2021-02-03 00:00:00",56932
"2021-02-04 00:00:00",56941
"2021-02-05 00:00:00",56947
"2021-02-06 00:00:00",56951
